Chinese,Pinyin,English,Urdu,Chinese Pronunciation (Urdu),Roman Urdu
国家,Guójiā,Country,ملک,گو چیا,Mulk
世界,Shìjiè,World,دنیا,شی جئے,Dunya
亚洲,Yàzhōu,Asia,ایشیاء,یا چو,Asia
巴基斯坦,Bājīsītǎn,Pakistan,پاکستان,پا چستھان,Pakistan
中国,Zhōngguó,China,چین,چو نگو آ,Chin
美国,Měiguó,USA,امریکہ,میگو آ,Amerika
英国,Yīngguó,UK,انگلستان,اینگو آ,Englistan
沙特阿拉伯,Shātè ālābó,Saudi Arabia,سعودی عرب,شاتھ آلا بو,Saudi Arabia
阿联酋,Āliánqiú,UAE,عرب امارات,آلیان,Arab Emarat
伊朗,Yīlǎng,Iran,ایران,ای لانگ,Iran
印度,Yìndù,India,ہندوستان,اِن ڈو,Hindustan
阿富汗,Āfùhàn,Afghanistan,افغانستان,آفو خان,Afghanistan
印尼,Yìnní,Indonesia,انڈونیشیا,اِینی,Indonesia
澳大利亚,Àodàlìyà,Australia,آسٹریلیا,اوڈالیا,Australia
土耳其,Tǔ'ěrqí,Turkey,ترکی,تھو آر چھی,Turkey
埃及,Āijí,Egypt,مصر,آئیچی,Misr
孟加拉国,Mèngjiālāguó,Bangladesh,بنگلہ دیش,من چیلا کو آ,Bangladesh
日本,Rìběn,Japan,جاپان,ری بین,Japan
巴西,Bāxī,Brazil,برازیل,پاشی,Brazil
南非,Nánfēi,South Africa,جنوبی افریقہ,نان فے,Janubi Africa
加拿大,Jiānádà,Canada,کینیڈا,چیاناڈا,Canada
法国,Fàguó,France,فرانس,فاگو آ,France
德国,Déguó,Germany,جرمنی,ڈ گو آ,Germany
瑞士,Ruìshì,Switzerland,سوئٹزلینڈ,ر شَر,Switzerland
